MOTIVO_CURADORIA;NU_ANO_CENSO;CO_IES;NO_IES;CO_CURSO;NO_CURSO;MUNICIPIOS;MUNICIPIOS_SEM_MATRICULA;MAT_TOTAL_MUNICIPAL;MAT_MAIOR_MUNICIPIO;FRAC_MUNICIPIOS_ZERADOS;FRAC_NO_MAIOR_MUNICIPIO;PADRAO_ATIPICO;PRIORIDADE_SE_PUBLICAR_MAPA;DECISAO_CURADORIA;STATUS_VERIFICACAO_FONTE
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;3602;CENTRO UNIVERSITÁRIO AUTÔNOMO DO BRASIL;1547897;Análise E Desenvolvimento De Sistemas;7;2;52.0;48.0;0.286;0.923;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;277;CENTRO UNIVERSITÁRIO AUGUSTO MOTTA;1439955;Análise E Desenvolvimento De Sistemas;7;0;283.0;264.0;0.0;0.933;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;712;CENTRO UNIVERSITÁRIO IBMR;1484892;Big Data E Inteligência Analítica;7;3;80.0;77.0;0.429;0.962;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2020;5370;Centro Universitário Doctum de Teófilo Otoni;1551901;REDES DE COMPUTADORES;7;5;3.0;2.0;0.714;0.667;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;15450;Faculdade Única de Ipatinga;1473018;Sistemas Para Internet;7;5;6.0;5.0;0.714;0.833;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;2950;Centro Universitário FADERGS;1457871;Sistemas Para Internet;7;5;3.0;2.0;0.714;0.667;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;338;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;1550782;Jogos Digitais;7;2;107.0;100.0;0.286;0.935;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;712;CENTRO UNIVERSITÁRIO IBMR;1545602;Sistemas De Informação;7;4;111.0;108.0;0.571;0.973;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;383;UNIVERSIDADE DA AMAZÔNIA;1550802;Internet Das Coisas;7;6;1.0;1.0;0.857;1.0;muitos municipios zerados e concentracao;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;1185;CENTRO UNIVERSITÁRIO JORGE AMADO;1473699;Sistemas De Informação;7;3;68.0;63.0;0.429;0.926;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;1872;CENTRO UNIVERSITÁRIO SANTA CRUZ DE CURITIBA;1576051;Gestão Da Tecnologia Da Informação;7;5;8.0;6.0;0.714;0.75;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2020;277;CENTRO UNIVERSITÁRIO AUGUSTO MOTTA;1439955;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;6;0;172.0;163.0;0.0;0.948;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2020;1490;CENTRO UNIVERSITÁRIO DE JAGUARIÚNA;1420298;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;6;4;3.0;2.0;0.667;0.667;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;124;UNIVERSIDADE DE ARARAQUARA;1443889;Análise E Desenvolvimento De Sistemas;6;1;126.0;119.0;0.167;0.944;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;338;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;1550713;Sistemas De Informação;6;0;680.0;653.0;0.0;0.96;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;2497;CENTRO UNIVERSITÁRIO ATENEU;1473218;Gestão Da Tecnologia Da Informação;6;3;23.0;21.0;0.5;0.913;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;918;CENTRO UNIVERSITÁRIO UNIVEL;1596408;Análise E Desenvolvimento De Sistemas;6;2;93.0;86.0;0.333;0.925;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;480;CENTRO UNIVERSITÁRIO SERRA DOS ÓRGÃOS;1624916;Análise E Desenvolvimento De Sistemas;6;4;166.0;165.0;0.667;0.994;muitos municipios zerados e concentracao;conferir os municipios no mapa;"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;671;UNIVERSIDADE ANHANGUERA;1576142;Sistemas Para Internet;6;4;2.0;1.0;0.667;0.5;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;2279;Centro Universitário Metrocamp Wyden;1591261;Ciência Da Computação;6;3;88.0;86.0;0.5;0.977;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;712;CENTRO UNIVERSITÁRIO IBMR;1483975;Segurança Da Informação;6;3;94.0;92.0;0.5;0.979;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;1422;CENTRO UNIVERSITÁRIO DO NORTE;1510916;Análise E Desenvolvimento De Sistemas;6;3;176.0;174.0;0.5;0.989;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;448;CENTRO UNIVERSITÁRIO RITTER DOS REIS;1549949;Blockchain E Criptografia Digital;6;4;2.0;1.0;0.667;0.5;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;1075;CENTRO UNIVERSITÁRIO - UNIESP;1526019;Análise E Desenvolvimento De Sistemas;6;0;471.0;440.0;0.0;0.934;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;1388;CENTRO UNIVERSITÁRIO SUMARÉ;1496478;Análise E Desenvolvimento De Sistemas;6;2;153.0;150.0;0.333;0.98;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;481;Universidade Universus Veritas Guarulhos;1404990;Análise E Desenvolvimento De Sistemas;6;4;6.0;4.0;0.667;0.667;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;712;CENTRO UNIVERSITÁRIO IBMR;1545604;Engenharia De Computação;6;3;75.0;73.0;0.5;0.973;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;124;UNIVERSIDADE DE ARARAQUARA;1443889;Análise E Desenvolvimento De Sistemas;6;1;163.0;156.0;0.167;0.957;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;1388;CENTRO UNIVERSITÁRIO SUMARÉ;1496478;Análise E Desenvolvimento De Sistemas;6;1;111.0;107.0;0.167;0.964;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;515;Centro Universitário Anhanguera Pitágoras Unopar de Niterói;1576287;Jogos Digitais;6;4;2.0;1.0;0.667;0.5;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;1508;Centro Universitário Metropolitano de Maringá;1457207;Engenharia De Software;6;4;26.0;25.0;0.667;0.962;muitos municipios zerados e concentracao;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;277;CENTRO UNIVERSITÁRIO AUGUSTO MOTTA;1440022;Redes De Computadores;6;1;124.0;116.0;0.167;0.935;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2015;316;UNIVERSIDADE NOVE DE JULHO;114401;REDES DE COMPUTADORES;5;0;643.0;605.0;0.0;0.941;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2015;316;UNIVERSIDADE NOVE DE JULHO;1135072;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;5;0;365.0;351.0;0.0;0.962;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2016;316;UNIVERSIDADE NOVE DE JULHO;1152522;SISTEMAS PARA INTERNET;5;0;190.0;172.0;0.0;0.905;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2013;316;UNIVERSIDADE NOVE DE JULHO;1135072;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;5;0;276.0;252.0;0.0;0.913;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2014;316;UNIVERSIDADE NOVE DE JULHO;114401;REDES DE COMPUTADORES;5;0;491.0;454.0;0.0;0.925;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2015;316;UNIVERSIDADE NOVE DE JULHO;1152522;SISTEMAS PARA INTERNET;5;2;176.0;161.0;0.4;0.915;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2016;316;UNIVERSIDADE NOVE DE JULHO;1135072;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;5;0;361.0;347.0;0.0;0.961;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2016;316;UNIVERSIDADE NOVE DE JULHO;116390;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;5;0;600.0;566.0;0.0;0.943;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2016;316;UNIVERSIDADE NOVE DE JULHO;114401;REDES DE COMPUTADORES;5;0;717.0;683.0;0.0;0.953;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2014;316;UNIVERSIDADE NOVE DE JULHO;1152522;SISTEMAS PARA INTERNET;5;0;152.0;143.0;0.0;0.941;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2014;316;UNIVERSIDADE NOVE DE JULHO;1135072;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;5;0;318.0;296.0;0.0;0.931;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2020;1042;UNIVERSIDADE POSITIVO;1537825;INTERNET DAS COISAS;5;3;5.0;4.0;0.6;0.8;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2020;1557;UNIVERSIDADE FUMEC;1456130;ENGENHARIA DE COMPUTAÇÃO;5;1;91.0;83.0;0.2;0.912;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2020;1557;UNIVERSIDADE FUMEC;1266540;SISTEMAS DE INFORMAÇÃO;5;0;318.0;300.0;0.0;0.943;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;515;Centro Universitário Anhanguera Pitágoras Unopar de Niterói;1576422;Inteligência De Mercado E Análise De Dados;5;3;2.0;1.0;0.6;0.5;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;448;CENTRO UNIVERSITÁRIO RITTER DOS REIS;1549949;Blockchain E Criptografia Digital;5;3;4.0;3.0;0.6;0.75;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;621;CENTRO UNIVERSITÁRIO CESMAC;1524472;Análise E Desenvolvimento De Sistemas;5;2;88.0;80.0;0.4;0.909;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;3371;CENTRO UNIVERSITÁRIO DE PATOS DE MINAS;1516685;Análise E Desenvolvimento De Sistemas;5;3;14.0;12.0;0.6;0.857;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;1557;UNIVERSIDADE FUMEC;1420282;Gestão Da Tecnologia Da Informação;5;0;69.0;63.0;0.0;0.913;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;1557;UNIVERSIDADE FUMEC;1266540;Sistemas De Informação;5;1;234.0;215.0;0.2;0.919;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;242;CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;1607062;Sistemas Para Internet;5;3;2.0;1.0;0.6;0.5;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;712;CENTRO UNIVERSITÁRIO IBMR;1483975;Segurança Da Informação;5;2;65.0;63.0;0.4;0.969;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;1538;CENTRO UNIVERSITARIO PROJEÇÃO;1419631;Análise E Desenvolvimento De Sistemas;5;0;268.0;263.0;0.0;0.981;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;1557;UNIVERSIDADE FUMEC;1266540;Sistemas De Informação;5;0;284.0;265.0;0.0;0.933;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2021;712;CENTRO UNIVERSITÁRIO IBMR;1545999;Jogos Digitais;5;4;11.0;11.0;0.8;1.0;muitos municipios zerados e concentracao;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2020;718;UNIVERSIDADE POTIGUAR;1487232;BIG DATA E INTELIGÊNCIA ANALÍTICA;5;4;7.0;7.0;0.8;1.0;muitos municipios zerados e concentracao;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2015;316;UNIVERSIDADE NOVE DE JULHO;116390;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;5;0;582.0;543.0;0.0;0.933;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;712;CENTRO UNIVERSITÁRIO IBMR;1501453;Gestão Da Tecnologia Da Informação;5;2;171.0;167.0;0.4;0.977;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;1060;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;1542115;Big Data E Inteligência Analítica;5;1;66.0;61.0;0.2;0.924;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;124;UNIVERSIDADE DE ARARAQUARA;1443889;Análise E Desenvolvimento De Sistemas;5;1;129.0;123.0;0.2;0.953;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;665;UNIVERSIDADE DE TAUBATÉ;1549983;Sistemas De Informação;5;1;44.0;41.0;0.2;0.932;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;621;CENTRO UNIVERSITÁRIO CESMAC;1524472;Análise E Desenvolvimento De Sistemas;5;0;116.0;106.0;0.0;0.914;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;519;UNIVERSIDADE CATÓLICA DO SALVADOR;1597139;Gestão Da Tecnologia Da Informação;5;3;5.0;3.0;0.6;0.6;muitos municipios zerados;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;718;UNIVERSIDADE POTIGUAR;1487232;Big Data E Inteligência Analítica;5;4;11.0;11.0;0.8;1.0;muitos municipios zerados e concentracao;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2022;82;UNIVERSIDADE DO OESTE DE SANTA CATARINA;1516273;Gestão Da Tecnologia Da Informação;5;4;13.0;13.0;0.8;1.0;muitos municipios zerados e concentracao;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2023;146;CENTRO UNIVERSITÁRIO DE RIO PRETO;1454213;Análise E Desenvolvimento De Sistemas;5;1;57.0;54.0;0.2;0.947;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;146;CENTRO UNIVERSITÁRIO DE RIO PRETO;1454213;Análise E Desenvolvimento De Sistemas;5;0;62.0;57.0;0.0;0.919;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;1205;CENTRO UNIVERSITÁRIO FAEL;1634500;Internet Das Coisas;5;4;1.0;1.0;0.8;1.0;muitos municipios zerados e concentracao;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
"distribuicao municipal EaD concentrada ou com muitas linhas sem matricula; nao comprova erro da IES";2024;1958;Centro Universitário SENAI Santa Catarina;1262814;Análise E Desenvolvimento De Sistemas;5;0;278.0;263.0;0.0;0.946;concentracao no maior municipio;"conferir distribuicao; prioridade secundaria";"manter os totais; nao interpretar municipio associado como polo fisico";"pendente; triagem automatica nao confirma preenchimento da IES"
